Date,Type,Category,Amount,Note,Merchant,OriginalCurrency,OriginalAmount,ExchangeRate
2026-04-24,expense,groceries,33.4,Household essentials,Whole Basket,,,
2026-04-24,expense,food,30.03,Weekend brunch,Burger Loft,,,
2026-04-26,expense,shopping,55.09,Replacement cable,Home Goods,,,
2026-04-26,expense,travel,190.23,Travel meal,Airline,,,
2026-04-27,expense,travel,200.01,Travel meal,Airport Rail,,,
2026-04-28,expense,education,74.91,Book purchase,Language App,,,
2026-04-29,expense,shopping,92.17,Home item,Bookshop,,,
2026-04-30,expense,shopping,131.62,Clothing,Apple Store,,,
2026-05-01,expense,travel,148.9,Hotel deposit,Travel Snacks,,,
2026-05-02,expense,other,11.01,Miscellaneous expense,Post Office,,,
2026-05-03,expense,subscriptions,11.53,iCloud monthly plan,iCloud,,,
2026-05-03,expense,travel,59.84,Travel meal,Travel Snacks,,,
2026-05-04,income,gift_in,46.06,Gift received,Family Transfer,,,
2026-05-05,expense,gifts,29.24,Thank-you gift,Flower Market,,,
2026-05-05,expense,gifts,59.4,Family present,Gift Shop,,,
2026-05-07,expense,bills,106.97,Utility payment,Internet Provider,,,
2026-05-08,income,freelance,469.96,Client payment,Tutoring Client,,,
2026-05-08,expense,other,8.79,Miscellaneous expense,ATM Fee,,,
2026-05-09,expense,food,19.43,Lunch,Morning Brew Cafe,,,
2026-05-10,expense,entertainment,57.68,Movie night,Game Store,,,
2026-05-11,expense,other,29.9,Miscellaneous expense,ATM Fee,,,
2026-05-12,expense,entertainment,63.52,Tickets,Event Tickets,GBP,50.02,1.27
2026-05-13,expense,subscriptions,14.38,Adobe monthly plan,Adobe,,,
2026-05-14,expense,health,32.16,Appointment copay,Wellness Shop,,,
2026-05-14,expense,other,13.53,Miscellaneous expense,Post Office,,,
2026-05-16,expense,education,26.3,Book purchase,Online Course,,,
